# F100/gust pass-through conformance fixture (PART-P02, falcon v1.124)
# phase,m0_bits,m1_bits,m2_bits,m3_bits  — f32 bit patterns (hex);
# EXPECTED F100 OUTPUT == INPUT, byte-exact (no re-mix, no floors).
hover,3f266666,3f266666,3f266666,3f266666
hover,3f0035bb,3f0035bb,3f0035bb,3f0035bb
hover,3efe29f4,3efe29f4,3efe29f4,3efe29f4
hover,3efe40f1,3efe40f1,3efe40f1,3efe40f1
hover,3efe6c7a,3efe6c7a,3efe6c7a,3efe6c7a
hover,3efe93c7,3efe93c7,3efe93c7,3efe93c7
hover,3efeb81c,3efeb81c,3efeb81c,3efeb81c
hover,3efed794,3efed794,3efed794,3efed794
hover,3efef516,3efef516,3efef516,3efef516
hover,3eff0eda,3eff0eda,3eff0eda,3eff0eda
saturated,3efd21fe,3f04971e,3f009069,3ef52979
saturated,3efef6f3,3f0018ff,3eff6197,3efe2f54
saturated,3eff7228,3efe18c2,3eff01c3,3f003002
saturated,3eff7d21,3efe5e76,3eff1ed6,3f001fba
saturated,3eff8c3c,3efe9b11,3eff3cb4,3f0016dd
saturated,3eff9d61,3efecb2a,3eff5800,3f00144f
saturated,3effac22,3efef7e1,3eff70a8,3f00112c
saturated,3effb79c,3eff1fb5,3eff858c,3f000d2a
saturated,3effbf42,3eff416d,3eff95e0,3f00082b
saturated,3effc2e4,3eff5c97,3effa156,3f000220
saturated,3effc30e,3eff7188,3effa856,3efff6a4
saturated,3effc093,3eff814c,3effabd5,3effe82c
rotor_out,3effbc97,3eff8d2c,3effad0d,3effd9e4
rotor_out,00000000,3f65ef8e,00000000,3f65ef8e
rotor_out,00000000,3f762504,00000000,3f762504
rotor_out,00000000,3f7b6864,3b8cd216,3f7d5f7d
rotor_out,00000000,3f7efc08,3c5d3292,3f7d1b89
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,3cc9937e,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,3d3ba483,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,00000000,3f800000
rotor_out,00000000,3f800000,3d941fbc,3f7f05c7
rotor_out,00000000,3f800000,00000000,3f800000
