step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,-0.0200,-0.0047,0.0005,-9.7956,0.0010,-0.0011,-0.0009,0.700,0.700,0.700,0.700,51,1,1
1,0.010,0.0000,0.0000,-0.0200,0.0048,-0.0027,-9.8016,-0.0005,0.0004,0.0015,0.700,0.700,0.700,0.700,53,2,2
2,0.020,0.0000,0.0000,-0.0200,0.0041,0.0008,-9.8025,0.0005,0.0004,0.0015,0.700,0.700,0.700,0.700,56,2,3
3,0.030,0.0000,0.0000,-0.0200,0.0015,0.0015,-9.8021,-0.0005,0.0007,0.0013,0.700,0.700,0.700,0.700,58,2,4
4,0.040,0.0000,0.0000,-0.0200,0.0004,-0.0028,-9.7986,0.0001,-0.0020,0.0007,0.700,0.700,0.700,0.700,60,2,5
5,0.050,0.0000,0.0000,-0.0200,0.0009,0.0011,-9.7978,0.0016,-0.0003,0.0008,0.700,0.700,0.700,0.700,63,2,6
6,0.060,0.0000,0.0000,-0.0200,0.0022,-0.0027,-9.8030,0.0004,0.0002,-0.0007,0.700,0.700,0.700,0.700,65,2,7
7,0.070,0.0000,0.0000,-0.0200,-0.0014,0.0020,-9.8004,-0.0006,0.0004,0.0009,0.700,0.700,0.700,0.700,68,2,8
8,0.080,0.0000,0.0000,-0.0200,0.0021,0.0035,-9.8027,-0.0003,-0.0005,0.0009,0.700,0.700,0.700,0.700,70,2,9
9,0.090,0.0000,0.0000,-0.0200,-0.0021,0.0027,-9.7969,-0.0002,0.0010,0.0009,0.700,0.700,0.700,0.700,72,3,10
10,0.100,0.0000,0.0000,-0.0200,-0.0014,-0.0044,-9.7987,0.0012,-0.0004,-0.0004,0.700,0.700,0.700,0.700,75,3,11
11,0.110,0.0000,0.0000,-0.0200,-0.0022,0.0030,-9.8002,0.0005,-0.0002,-0.0001,0.700,0.700,0.700,0.700,77,3,12
12,0.120,0.0000,0.0000,-0.0200,-0.0007,-0.0013,-9.7992,0.0011,-0.0006,-0.0001,0.700,0.700,0.700,0.700,80,3,13
13,0.130,0.0000,0.0000,-0.0200,-0.0017,0.0007,-9.7980,-0.0009,-0.0007,0.0024,0.700,0.700,0.700,0.700,82,3,14
14,0.140,0.0000,0.0000,-0.0200,-0.0001,0.0045,-9.8035,0.0001,0.0019,0.0002,0.700,0.700,0.700,0.700,84,3,15
15,0.150,0.0000,0.0000,-0.0200,0.0012,-0.0004,-9.7994,-0.0021,0.0001,-0.0021,0.700,0.700,0.700,0.700,87,3,16
16,0.160,0.0000,0.0000,-0.0200,-0.0002,0.0007,-9.7989,0.0003,0.0013,-0.0006,0.700,0.700,0.700,0.700,89,3,17
17,0.170,0.0000,0.0000,-0.0200,-0.0022,-0.0036,-9.8011,0.0006,-0.0002,-0.0016,0.700,0.700,0.700,0.700,91,3,18
18,0.180,0.0000,0.0000,-0.0200,0.0020,0.0035,-9.7981,-0.0022,-0.0009,-0.0007,0.700,0.700,0.700,0.700,94,4,19
19,0.190,0.0000,0.0000,-0.0200,0.0014,-0.0006,-9.7977,0.0003,0.0001,-0.0005,0.700,0.700,0.700,0.700,96,4,20
20,0.200,0.0000,0.0000,-0.0200,0.0035,0.0061,-9.8003,0.0002,-0.0010,-0.0001,0.700,0.700,0.700,0.700,98,4,21
21,0.210,0.0000,0.0000,-0.0200,0.0010,-0.0000,-9.7989,-0.0006,-0.0006,-0.0003,0.700,0.700,0.700,0.700,101,4,22
22,0.220,0.0000,0.0000,-0.0200,0.0007,0.0010,-9.7991,-0.0005,0.0000,0.0011,0.700,0.700,0.700,0.700,103,4,23
23,0.230,0.0000,0.0000,-0.0200,-0.0010,-0.0015,-9.7978,0.0003,-0.0007,-0.0005,0.700,0.700,0.700,0.700,105,4,24
