step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,0.0000,-0.0037,0.0028,-9.7987,-0.0003,0.0006,0.0009,0.820,0.820,0.820,0.820,51,0,1
1,0.010,0.0000,0.0000,-0.0200,0.0024,0.0003,-9.8000,0.0021,-0.0006,0.0003,0.789,0.789,0.789,0.789,54,2,2
2,0.020,0.0000,0.0000,-0.0200,0.0018,-0.0019,-9.7958,0.0009,0.0009,0.0007,0.791,0.791,0.791,0.791,56,2,3
3,0.030,0.0000,0.0000,-0.0200,-0.0020,0.0026,-9.7989,-0.0004,0.0009,0.0009,0.792,0.792,0.792,0.792,59,3,4
4,0.040,0.0000,0.0000,-0.0200,-0.0012,-0.0018,-9.7985,-0.0006,0.0002,-0.0011,0.793,0.793,0.793,0.793,61,4,5
5,0.050,0.0000,0.0000,-0.0200,-0.0030,-0.0025,-9.8560,-0.0009,-0.0005,0.0003,0.795,0.795,0.795,0.795,63,4,6
6,0.060,0.0000,0.0000,-0.0200,-0.0030,0.0053,-10.2474,-0.0004,0.0009,0.0002,0.796,0.796,0.796,0.796,65,5,7
7,0.070,0.0000,0.0000,-0.0200,-0.0010,-0.0011,-10.5012,-0.0004,-0.0000,0.0002,0.797,0.797,0.797,0.797,68,5,8
8,0.080,0.0000,0.0000,-0.0202,0.0032,-0.0016,-10.5777,0.0001,0.0002,-0.0004,0.798,0.798,0.798,0.798,70,6,9
9,0.090,0.0000,0.0000,-0.0202,0.0012,0.0012,-10.6220,-0.0012,0.0002,-0.0016,0.799,0.799,0.799,0.799,72,6,10
10,0.100,0.0000,0.0000,-0.0207,-0.0016,0.0006,-10.6686,0.0012,0.0014,-0.0005,0.799,0.799,0.799,0.799,75,7,11
11,0.110,0.0000,0.0000,-0.0215,-0.0010,0.0005,-10.6868,-0.0000,0.0005,0.0009,0.799,0.799,0.799,0.799,77,8,12
12,0.120,0.0000,0.0000,-0.0215,-0.0006,0.0005,-10.6968,-0.0001,-0.0001,0.0005,0.800,0.800,0.800,0.800,79,8,13
13,0.130,0.0000,0.0000,-0.0227,-0.0009,-0.0040,-10.7062,0.0003,-0.0011,0.0010,0.799,0.799,0.799,0.799,81,9,14
14,0.140,0.0000,0.0000,-0.0227,0.0009,0.0026,-10.7065,0.0002,-0.0007,0.0006,0.800,0.800,0.800,0.800,83,9,15
15,0.150,0.0000,0.0000,-0.0242,0.0004,0.0020,-10.7208,0.0001,-0.0001,-0.0006,0.799,0.799,0.799,0.799,86,10,16
16,0.160,0.0000,0.0000,-0.0242,-0.0019,-0.0048,-10.7164,-0.0007,-0.0008,0.0006,0.800,0.800,0.800,0.800,88,10,17
17,0.170,0.0000,0.0000,-0.0261,0.0004,0.0050,-10.7165,0.0004,-0.0002,0.0003,0.798,0.798,0.798,0.798,91,11,18
18,0.180,0.0000,0.0000,-0.0283,-0.0009,-0.0010,-10.7024,0.0009,-0.0006,-0.0018,0.795,0.795,0.795,0.795,93,12,19
19,0.190,0.0000,0.0000,-0.0283,0.0038,-0.0026,-10.6729,0.0006,-0.0002,-0.0001,0.796,0.796,0.796,0.796,95,12,20
20,0.200,0.0000,0.0000,-0.0309,0.0002,-0.0033,-10.6480,-0.0001,0.0004,0.0019,0.793,0.793,0.793,0.793,98,13,21
21,0.210,0.0000,0.0000,-0.0309,-0.0004,0.0035,-10.6254,0.0008,-0.0004,-0.0007,0.795,0.795,0.795,0.795,100,13,22
22,0.220,0.0000,0.0000,-0.0339,-0.0012,-0.0022,-10.6064,-0.0001,-0.0003,-0.0006,0.791,0.791,0.791,0.791,102,14,23
23,0.230,0.0000,0.0000,-0.0372,-0.0022,-0.0047,-10.5643,0.0007,-0.0011,0.0016,0.787,0.787,0.787,0.787,105,15,24
24,0.240,0.0000,0.0000,-0.0372,-0.0012,0.0019,-10.5196,-0.0017,0.0007,-0.0008,0.789,0.789,0.789,0.789,107,15,25
25,0.250,0.0000,0.0000,-0.0408,-0.0026,-0.0032,-10.4782,0.0007,0.0015,0.0002,0.785,0.785,0.785,0.785,110,16,26
26,0.260,0.0000,0.0000,-0.0408,0.0001,-0.0003,-10.4341,0.0007,0.0009,0.0024,0.787,0.787,0.787,0.787,112,16,27
27,0.270,0.0000,0.0000,-0.0446,0.0037,0.0009,-10.4038,0.0005,0.0002,-0.0014,0.782,0.782,0.782,0.782,115,17,28
28,0.280,0.0000,0.0000,-0.0488,0.0020,-0.0014,-10.3594,-0.0002,0.0005,0.0001,0.778,0.778,0.778,0.778,117,18,29
29,0.290,0.0000,0.0000,-0.0488,0.0006,0.0015,-10.3022,-0.0009,-0.0002,-0.0000,0.780,0.780,0.780,0.780,119,18,30
30,0.300,0.0000,0.0000,-0.0531,0.0027,0.0001,-10.2586,-0.0000,-0.0003,-0.0007,0.775,0.775,0.775,0.775,121,19,31
31,0.310,0.0000,0.0000,-0.0531,0.0007,0.0009,-10.2155,-0.0010,0.0005,-0.0003,0.777,0.777,0.777,0.777,123,19,32
32,0.320,0.0000,0.0000,-0.0576,0.0031,0.0019,-10.1620,-0.0008,0.0006,0.0007,0.772,0.772,0.772,0.772,126,20,33
33,0.330,0.0000,0.0000,-0.0576,0.0019,-0.0010,-10.1181,0.0010,-0.0003,0.0005,0.774,0.774,0.774,0.774,128,20,34
34,0.340,0.0000,0.0000,-0.0623,0.0032,-0.0019,-10.0794,0.0003,-0.0004,0.0004,0.769,0.769,0.769,0.769,131,21,35
35,0.350,0.0000,0.0000,-0.0670,-0.0018,-0.0013,-10.0356,0.0005,-0.0015,-0.0004,0.764,0.764,0.764,0.764,133,22,36
36,0.360,0.0000,0.0000,-0.0670,-0.0021,0.0027,-9.9683,-0.0008,0.0020,0.0007,0.767,0.767,0.767,0.767,135,22,37
37,0.370,0.0000,0.0000,-0.0719,-0.0005,-0.0016,-9.9056,0.0004,0.0014,-0.0000,0.762,0.762,0.762,0.762,138,23,38
38,0.380,0.0000,0.0000,-0.0719,-0.0009,-0.0011,-9.8567,-0.0014,-0.0012,-0.0004,0.764,0.764,0.764,0.764,140,23,39
39,0.390,0.0000,0.0000,-0.0768,0.0003,-0.0014,-9.8252,0.0010,0.0016,0.0001,0.759,0.759,0.759,0.759,143,24,40
40,0.400,0.0000,0.0000,-0.0818,0.0019,0.0028,-9.7793,0.0001,0.0001,-0.0006,0.755,0.755,0.755,0.755,145,25,41
