step,t_s,n_m,e_m,d_m,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,m0,m1,m2,m3,imu_recv,navsat_recv,motor_send
0,0.000,0.0000,0.0000,0.0000,0.0009,-0.0001,-9.8028,0.0005,-0.0009,-0.0017,0.820,0.820,0.820,0.820,51,0,1
1,0.010,0.0000,0.0000,-0.0200,0.0005,-0.0001,-9.8005,-0.0004,-0.0007,-0.0009,0.805,0.805,0.805,0.805,53,1,2
2,0.020,0.0000,0.0000,-0.0200,-0.0005,0.0048,-9.8015,0.0001,0.0008,-0.0006,0.806,0.806,0.806,0.806,56,2,3
3,0.030,0.0000,0.0000,-0.0200,-0.0007,-0.0006,-9.8030,0.0008,0.0007,-0.0008,0.807,0.807,0.807,0.807,58,3,4
4,0.040,0.0000,0.0000,-0.0200,-0.0035,-0.0035,-9.7991,0.0005,-0.0001,-0.0007,0.808,0.808,0.808,0.808,61,3,5
5,0.050,0.0000,0.0000,-0.0200,-0.0028,-0.0019,-10.3850,-0.0014,0.0003,-0.0015,0.809,0.809,0.809,0.809,63,4,6
6,0.060,0.0000,0.0000,-0.0202,-0.0014,0.0005,-10.7932,-0.0005,0.0000,0.0010,0.810,0.810,0.810,0.810,66,5,7
7,0.070,0.0000,0.0000,-0.0202,0.0015,-0.0015,-10.9042,-0.0007,0.0006,-0.0004,0.811,0.811,0.811,0.811,68,5,8
8,0.080,0.0000,0.0000,-0.0207,0.0019,-0.0000,-10.9671,-0.0003,-0.0005,-0.0004,0.812,0.812,0.812,0.812,70,6,9
9,0.090,0.0000,0.0000,-0.0207,0.0028,0.0021,-11.0058,-0.0009,-0.0001,0.0003,0.812,0.812,0.812,0.812,72,6,10
10,0.100,0.0000,0.0000,-0.0217,-0.0004,-0.0023,-11.0415,0.0002,0.0007,0.0011,0.813,0.813,0.813,0.813,75,7,11
11,0.110,0.0000,0.0000,-0.0217,0.0018,0.0011,-11.0558,-0.0012,-0.0001,0.0001,0.814,0.814,0.814,0.814,77,7,12
12,0.120,0.0000,0.0000,-0.0232,-0.0003,-0.0037,-11.0794,0.0003,-0.0017,0.0005,0.813,0.813,0.813,0.813,80,8,13
13,0.130,0.0000,0.0000,-0.0252,0.0021,-0.0023,-11.0883,0.0007,0.0011,0.0008,0.813,0.813,0.813,0.813,82,9,14
14,0.140,0.0000,0.0000,-0.0252,0.0015,-0.0020,-11.0779,-0.0003,0.0001,-0.0009,0.814,0.814,0.814,0.814,85,9,15
15,0.150,0.0000,0.0000,-0.0277,-0.0036,-0.0009,-11.0874,0.0013,-0.0003,-0.0017,0.812,0.812,0.812,0.812,87,10,16
16,0.160,0.0000,0.0000,-0.0277,-0.0001,0.0006,-11.0788,-0.0007,-0.0006,-0.0014,0.813,0.813,0.813,0.813,89,10,17
17,0.170,0.0000,0.0000,-0.0308,0.0031,-0.0008,-11.0901,-0.0002,-0.0007,0.0005,0.812,0.812,0.812,0.812,92,11,18
18,0.180,0.0000,0.0000,-0.0343,-0.0016,-0.0013,-11.0814,-0.0003,-0.0012,-0.0015,0.810,0.810,0.810,0.810,94,12,19
19,0.190,0.0000,0.0000,-0.0343,0.0011,-0.0014,-11.0515,-0.0002,-0.0005,-0.0010,0.811,0.811,0.811,0.811,97,12,20
20,0.200,0.0000,0.0000,-0.0384,-0.0015,0.0012,-11.0449,0.0006,0.0009,0.0004,0.809,0.809,0.809,0.809,99,13,21
21,0.210,0.0000,0.0000,-0.0384,0.0010,0.0029,-11.0271,-0.0003,-0.0014,0.0008,0.811,0.811,0.811,0.811,101,13,22
22,0.220,0.0000,0.0000,-0.0429,0.0011,-0.0029,-11.0224,0.0014,0.0013,-0.0002,0.808,0.808,0.808,0.808,103,14,23
23,0.230,0.0000,0.0000,-0.0429,0.0002,-0.0056,-11.0064,-0.0008,0.0011,0.0004,0.809,0.809,0.809,0.809,105,14,24
24,0.240,0.0000,0.0000,-0.0480,-0.0013,0.0004,-10.9941,0.0012,-0.0001,-0.0003,0.807,0.807,0.807,0.807,108,15,25
25,0.250,0.0000,0.0000,-0.0535,0.0001,-0.0021,-10.9697,-0.0001,-0.0004,0.0003,0.804,0.804,0.804,0.804,110,16,26
26,0.260,0.0000,0.0000,-0.0535,-0.0028,0.0019,-10.9316,-0.0016,-0.0014,-0.0007,0.805,0.805,0.805,0.805,112,16,27
27,0.270,0.0000,0.0000,-0.0595,0.0015,-0.0015,-10.9036,0.0002,-0.0002,-0.0007,0.802,0.802,0.802,0.802,114,17,28
28,0.280,0.0000,0.0000,-0.0595,-0.0005,-0.0008,-10.8649,0.0002,0.0022,-0.0003,0.804,0.804,0.804,0.804,117,17,29
29,0.290,0.0000,0.0000,-0.0659,0.0030,0.0006,-10.8472,0.0011,-0.0006,-0.0007,0.800,0.800,0.800,0.800,119,18,30
30,0.300,0.0000,0.0000,-0.0659,0.0018,-0.0002,-10.8240,-0.0011,0.0000,0.0009,0.802,0.802,0.802,0.802,121,18,31
31,0.310,0.0000,0.0000,-0.0728,0.0009,-0.0070,-10.7990,-0.0004,-0.0002,0.0012,0.798,0.798,0.798,0.798,124,19,32
32,0.320,0.0000,0.0000,-0.0801,0.0017,-0.0012,-10.7711,0.0021,-0.0003,-0.0011,0.794,0.794,0.794,0.794,126,20,33
33,0.330,0.0000,0.0000,-0.0801,-0.0018,0.0045,-10.7174,0.0019,-0.0016,0.0022,0.796,0.796,0.796,0.796,128,20,34
34,0.340,0.0000,0.0000,-0.0877,0.0001,0.0016,-10.6730,0.0004,0.0010,-0.0022,0.792,0.792,0.792,0.792,131,21,35
