t_s,altitude_m,commanded_m
0.0000,0.0000,2.0000
0.0010,0.0000,2.0000
0.0020,0.0000,2.0000
0.0030,0.0000,2.0000
0.0040,0.0000,2.0000
0.0050,0.0001,2.0000
0.0060,0.0001,2.0000
0.0070,0.0001,2.0000
0.0080,0.0001,2.0000
0.0090,0.0002,2.0000
0.0100,0.0002,2.0000
0.0110,0.0003,2.0000
0.0120,0.0003,2.0000
0.0130,0.0003,2.0000
0.0140,0.0004,2.0000
0.0150,0.0004,2.0000
0.0160,0.0005,2.0000
0.0170,0.0006,2.0000
0.0180,0.0006,2.0000
0.0190,0.0007,2.0000
0.0200,0.0008,2.0000
0.0210,0.0008,2.0000
0.0220,0.0009,2.0000
0.0230,0.0010,2.0000
0.0240,0.0011,2.0000
0.0250,0.0012,2.0000
0.0260,0.0013,2.0000
0.0270,0.0014,2.0000
0.0280,0.0015,2.0000
0.0290,0.0016,2.0000
0.0300,0.0017,2.0000
0.0310,0.0018,2.0000
0.0320,0.0019,2.0000
0.0330,0.0020,2.0000
0.0340,0.0021,2.0000
0.0350,0.0023,2.0000
0.0360,0.0024,2.0000
0.0370,0.0025,2.0000
0.0380,0.0026,2.0000
0.0390,0.0028,2.0000
0.0400,0.0029,2.0000
0.0410,0.0031,2.0000
0.0420,0.0032,2.0000
0.0430,0.0034,2.0000
0.0440,0.0035,2.0000
0.0450,0.0037,2.0000
0.0460,0.0039,2.0000
0.0470,0.0040,2.0000
0.0480,0.0042,2.0000
0.0490,0.0044,2.0000
0.0500,0.0046,2.0000
0.0510,0.0048,2.0000
0.0520,0.0049,2.0000
0.0530,0.0051,2.0000
0.0540,0.0053,2.0000
0.0550,0.0055,2.0000
0.0560,0.0057,2.0000
0.0570,0.0060,2.0000
0.0580,0.0062,2.0000
0.0590,0.0064,2.0000
0.0600,0.0066,2.0000
0.0610,0.0068,2.0000
0.0620,0.0071,2.0000
0.0630,0.0073,2.0000
0.0640,0.0075,2.0000
0.0650,0.0078,2.0000
0.0660,0.0080,2.0000
0.0670,0.0082,2.0000
0.0680,0.0085,2.0000
0.0690,0.0088,2.0000
0.0700,0.0090,2.0000
0.0710,0.0093,2.0000
0.0720,0.0095,2.0000
0.0730,0.0098,2.0000
0.0740,0.0101,2.0000
0.0750,0.0104,2.0000
0.0760,0.0106,2.0000
0.0770,0.0109,2.0000
0.0780,0.0112,2.0000
0.0790,0.0115,2.0000
0.0800,0.0118,2.0000
0.0810,0.0121,2.0000
0.0820,0.0124,2.0000
0.0830,0.0127,2.0000
0.0840,0.0130,2.0000
0.0850,0.0133,2.0000
0.0860,0.0137,2.0000
0.0870,0.0140,2.0000
0.0880,0.0143,2.0000
0.0890,0.0146,2.0000
0.0900,0.0150,2.0000
0.0910,0.0153,2.0000
0.0920,0.0156,2.0000
0.0930,0.0160,2.0000
0.0940,0.0163,2.0000
0.0950,0.0167,2.0000
0.0960,0.0170,2.0000
0.0970,0.0174,2.0000
0.0980,0.0178,2.0000
0.0990,0.0181,2.0000
0.1000,0.0185,2.0000
0.1010,0.0189,2.0000
0.1020,0.0192,2.0000
0.1030,0.0196,2.0000
0.1040,0.0200,2.0000
0.1050,0.0204,2.0000
0.1060,0.0208,2.0000
0.1070,0.0212,2.0000
0.1080,0.0216,2.0000
0.1090,0.0220,2.0000
0.1100,0.0224,2.0000
0.1110,0.0228,2.0000
0.1120,0.0232,2.0000
0.1130,0.0236,2.0000
0.1140,0.0240,2.0000
0.1150,0.0245,2.0000
0.1160,0.0249,2.0000
0.1170,0.0253,2.0000
0.1180,0.0257,2.0000
0.1190,0.0262,2.0000
0.1200,0.0266,2.0000
0.1210,0.0271,2.0000
0.1220,0.0275,2.0000
0.1230,0.0280,2.0000
0.1240,0.0284,2.0000
0.1250,0.0289,2.0000
0.1260,0.0293,2.0000
0.1270,0.0298,2.0000
0.1280,0.0303,2.0000
0.1290,0.0307,2.0000
0.1300,0.0312,2.0000
0.1310,0.0317,2.0000
0.1320,0.0322,2.0000
0.1330,0.0326,2.0000
0.1340,0.0331,2.0000
0.1350,0.0336,2.0000
0.1360,0.0341,2.0000
0.1370,0.0346,2.0000
