t_s,altitude_m,commanded_m
0.0000,0.0001,2.0000
0.0040,0.0002,2.0000
0.0080,0.0003,2.0000
0.0120,0.0005,2.0000
0.0160,0.0008,2.0000
0.0200,0.0011,2.0000
0.0240,0.0015,2.0000
0.0280,0.0019,2.0000
0.0320,0.0023,2.0000
0.0360,0.0029,2.0000
0.0400,0.0034,2.0000
0.0440,0.0041,2.0000
0.0480,0.0048,2.0000
0.0520,0.0055,2.0000
0.0560,0.0063,2.0000
0.0600,0.0071,2.0000
0.0640,0.0080,2.0000
0.0680,0.0090,2.0000
0.0720,0.0100,2.0000
0.0760,0.0111,2.0000
0.0800,0.0122,2.0000
0.0840,0.0134,2.0000
0.0880,0.0146,2.0000
0.0920,0.0159,2.0000
0.0960,0.0173,2.0000
0.1000,0.0187,2.0000
0.1040,0.0202,2.0000
0.1080,0.0217,2.0000
0.1120,0.0233,2.0000
0.1160,0.0249,2.0000
0.1200,0.0266,2.0000
0.1240,0.0283,2.0000
0.1280,0.0302,2.0000
0.1320,0.0320,2.0000
0.1360,0.0340,2.0000
0.1400,0.0359,2.0000
0.1440,0.0380,2.0000
0.1480,0.0401,2.0000
0.1520,0.0423,2.0000
0.1560,0.0445,2.0000
0.1600,0.0468,2.0000
0.1640,0.0491,2.0000
0.1680,0.0515,2.0000
0.1720,0.0540,2.0000
0.1760,0.0565,2.0000
0.1800,0.0591,2.0000
0.1840,0.0618,2.0000
0.1880,0.0645,2.0000
0.1920,0.0672,2.0000
0.1960,0.0701,2.0000
0.2000,0.0730,2.0000
0.2040,0.0759,2.0000
0.2080,0.0789,2.0000
0.2120,0.0820,2.0000
0.2160,0.0852,2.0000
0.2200,0.0884,2.0000
0.2240,0.0916,2.0000
0.2280,0.0950,2.0000
0.2320,0.0983,2.0000
0.2360,0.1018,2.0000
0.2400,0.1053,2.0000
0.2440,0.1089,2.0000
0.2480,0.1125,2.0000
0.2520,0.1162,2.0000
0.2560,0.1199,2.0000
0.2600,0.1238,2.0000
0.2640,0.1276,2.0000
0.2680,0.1316,2.0000
0.2720,0.1356,2.0000
0.2760,0.1396,2.0000
0.2800,0.1437,2.0000
0.2840,0.1479,2.0000
0.2880,0.1521,2.0000
0.2920,0.1564,2.0000
0.2960,0.1608,2.0000
0.3000,0.1652,2.0000
0.3040,0.1697,2.0000
0.3080,0.1742,2.0000
0.3120,0.1788,2.0000
0.3160,0.1834,2.0000
0.3200,0.1881,2.0000
0.3240,0.1929,2.0000
0.3280,0.1977,2.0000
0.3320,0.2026,2.0000
0.3360,0.2076,2.0000
0.3400,0.2126,2.0000
0.3440,0.2176,2.0000
0.3480,0.2227,2.0000
0.3520,0.2279,2.0000
0.3560,0.2331,2.0000
0.3600,0.2384,2.0000
0.3640,0.2438,2.0000
0.3680,0.2492,2.0000
0.3720,0.2546,2.0000
0.3760,0.2602,2.0000
0.3800,0.2657,2.0000
0.3840,0.2714,2.0000
0.3880,0.2771,2.0000
0.3920,0.2828,2.0000
0.3960,0.2886,2.0000
0.4000,0.2945,2.0000
0.4040,0.3004,2.0000
0.4080,0.3064,2.0000
0.4120,0.3124,2.0000
0.4160,0.3185,2.0000
0.4200,0.3246,2.0000
0.4240,0.3308,2.0000
0.4280,0.3371,2.0000
0.4320,0.3434,2.0000
0.4360,0.3498,2.0000
0.4400,0.3562,2.0000
0.4440,0.3627,2.0000
0.4480,0.3692,2.0000
0.4520,0.3758,2.0000
0.4560,0.3825,2.0000
0.4600,0.3892,2.0000
0.4640,0.3959,2.0000
0.4680,0.4027,2.0000
0.4720,0.4096,2.0000
0.4760,0.4165,2.0000
0.4800,0.4235,2.0000
0.4840,0.4305,2.0000
0.4880,0.4376,2.0000
0.4920,0.4447,2.0000
0.4960,0.4519,2.0000
0.5000,0.4592,2.0000
0.5040,0.4665,2.0000
0.5080,0.4738,2.0000
0.5120,0.4812,2.0000
0.5160,0.4887,2.0000
0.5200,0.4962,2.0000
0.5240,0.5038,2.0000
0.5280,0.5114,2.0000
0.5320,0.5191,2.0000
0.5360,0.5268,2.0000
0.5400,0.5346,2.0000
0.5440,0.5424,2.0000
0.5480,0.5503,2.0000
0.5520,0.5583,2.0000
0.5560,0.5663,2.0000
0.5600,0.5743,2.0000
0.5640,0.5824,2.0000
0.5680,0.5906,2.0000
0.5720,0.5988,2.0000
0.5760,0.6070,2.0000
0.5800,0.6153,2.0000
0.5840,0.6237,2.0000
0.5880,0.6321,2.0000
0.5920,0.6406,2.0000
0.5960,0.6491,2.0000
0.6000,0.6576,2.0000
0.6040,0.6663,2.0000
0.6080,0.6749,2.0000
0.6120,0.6836,2.0000
0.6160,0.6924,2.0000
0.6200,0.7012,2.0000
0.6240,0.7101,2.0000
0.6280,0.7190,2.0000
0.6320,0.7280,2.0000
0.6360,0.7370,2.0000
0.6400,0.7461,2.0000
0.6440,0.7553,2.0000
0.6480,0.7644,2.0000
0.6520,0.7737,2.0000
0.6560,0.7829,2.0000
0.6600,0.7923,2.0000
0.6640,0.8016,2.0000
0.6680,0.8111,2.0000
0.6720,0.8206,2.0000
0.6760,0.8301,2.0000
0.6800,0.8397,2.0000
0.6840,0.8493,2.0000
0.6880,0.8590,2.0000
0.6920,0.8687,2.0000
0.6960,0.8785,2.0000
0.7000,0.8883,2.0000
0.7040,0.8982,2.0000
0.7080,0.9081,2.0000
0.7120,0.9181,2.0000
0.7160,0.9281,2.0000
0.7200,0.9381,2.0000
0.7240,0.9483,2.0000
0.7280,0.9584,2.0000
0.7320,0.9686,2.0000
0.7360,0.9789,2.0000
0.7400,0.9892,2.0000
0.7440,0.9996,2.0000
0.7480,1.0100,2.0000
0.7520,1.0204,2.0000
0.7560,1.0309,2.0000
0.7600,1.0415,2.0000
0.7640,1.0521,2.0000
0.7680,1.0627,2.0000
0.7720,1.0734,2.0000
0.7760,1.0842,2.0000
0.7800,1.0949,2.0000
0.7840,1.1058,2.0000
0.7880,1.1167,2.0000
0.7920,1.1276,2.0000
0.7960,1.1386,2.0000
0.8000,1.1496,2.0000
0.8040,1.1607,2.0000
0.8080,1.1718,2.0000
0.8120,1.1829,2.0000
0.8160,1.1941,2.0000
0.8200,1.2054,2.0000
0.8240,1.2167,2.0000
0.8280,1.2280,2.0000
0.8320,1.2394,2.0000
0.8360,1.2509,2.0000
0.8400,1.2623,2.0000
